Id;R;Nome;Squadra;Pg;Mv;Mf;Gf;Gs;Rp;Rc;R+;R-;Ass;Asf;Amm;Esp;Au;Final_Year;Is_First_Season;Squadra_T;Pg_previous_year;Pg_previous_year_2;Mf_previous_year;Mf_previous_year_2;Gf_previous_year;Gf_previous_year_2;Gs_previous_year;Gs_previous_year_2;Rp_previous_year;Rp_previous_year_2;Rc_previous_year;Rc_previous_year_2;R+_previous_year;R+_previous_year_2;R-_previous_year;R-_previous_year_2;Ass_previous_year;Ass_previous_year_2;Asf_previous_year;Asf_previous_year_2;Amm_previous_year;Amm_previous_year_2;Esp_previous_year;Esp_previous_year_2;Au_previous_year;Au_previous_year_2;Mf_predicted
353;D;ABATE;Milan;18;6.06;5.94;0;0;0;0;0;0;0;0;4;0;0;2019;FALSE;14;16.0;23.0;5.84;5.74;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;5.57
513;D;ACERBI;Lazio;37;6.14;6.31;3;0;0;0;0;0;0;0;3;1;0;2019;FALSE;9;38.0;38.0;5.83;6.45;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;1.0;0.0;6.02
555;C;ACQUAH;Empoli;22;5.91;6.09;2;0;0;0;0;0;0;0;4;0;0;2019;FALSE;8;16.0;16.0;5.75;6.09;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;1.0;3.0;0.0;0.0;5.87
824;D;ADJAPONG;Sassuolo;4;6.0;6.62;1;0;0;0;0;0;0;0;1;0;0;2019;FALSE;20;15.0;6.0;5.73;5.92;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;3.0;1.0;0.0;0.0;0.0;5.64
575;D;ADNAN;Atalanta;3;5.83;5.83;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;1;22.0;14.0;5.82;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;1.0;0.0;5.7
2865;D;AINA;Torino;29;5.91;6.02;1;0;0;0;0;0;2;1;4;1;0;2019;TRUE;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.05
388;D;ALBIOL;Napoli;19;5.79;5.84;1;0;0;0;0;0;0;0;4;0;0;2019;FALSE;3;31.0;26.0;6.45;6.06;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;7.0;8.0;0.0;0.0;0.0;0.0;6.09
662;D;ALEX SANDRO;Juventus;29;6.05;6.14;1;0;0;0;0;0;3;0;7;0;0;2019;FALSE;17;26.0;26.0;6.54;6.52;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;8.0;5.0;0.0;0.0;0.0;1.0;6.28
397;C;ALLAN;Napoli;33;6.18;6.18;1;0;0;0;0;0;2;0;10;0;0;2019;FALSE;3;37.0;28.0;6.74;6.18;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;6.46
2320;D;ANDERSEN;Sampdoria;32;6.02;5.91;0;0;0;0;0;0;0;0;7;0;0;2019;FALSE;12;6.0;0.0;5.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.86
2175;A;ANDRE' SILVA;Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;14;22.0;0.0;5.98;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.12
251;D;ANDREOLLI;Chievo;10;5.4;5.25;0;0;0;0;0;0;0;0;3;0;0;2019;FALSE;5;22.0;4.0;5.57;6.88;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.46
1984;D;ANGELLA;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;7;12.0;13.0;5.33;5.88;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;1.0;5.46
706;D;ANSALDI;Torino;24;6.38;6.77;3;0;0;0;0;0;2;0;3;0;0;2019;FALSE;19;25.0;21.0;6.24;5.52;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;5.0;8.0;1.0;1.0;0.0;0.0;6.1
2267;A;ANTENUCCI;SPAL;30;5.77;6.17;4;0;0;2;1;1;0;0;0;0;0;2019;FALSE;24;32.0;0.0;7.47;0.0;6.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.43
356;D;ANTONELLI;Empoli;12;5.83;5.88;0;0;0;0;0;0;1;0;1;0;0;2019;FALSE;8;3.0;6.0;5.17;6.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;5.57
2872;A;ARDAIZ;Frosinone;1;5.5;5.5;0;0;0;0;0;0;0;0;0;0;0;2019;TRUE;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.83
1946;P;ARESTI;Cagliari;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.44
515;D;ARIAUDO;Frosinone;19;5.76;5.61;0;0;0;0;0;0;0;0;2;0;1;2019;FALSE;11;0.0;8.0;0.0;5.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.32
